0,0,1,init,init
1,0,1,人体姿态,点击开始按钮后保持<span class="highlight">正向</span>屏幕，收到提示后请点击结束按钮，过程中请在身体朝向不变的前提下多移动肢体和接触屏幕。
1,1,1,人体姿态,点击开始按钮后请转身并保持<span class="highlight">背向</span>屏幕，收到提示后请转身并点击结束按钮，过程中请在不转身的前提下多移动肢体或接触屏幕。
1,2,1,人体姿态,点击开始按钮后请向<span class="highlight">左</span>转并保持<span class="highlight">侧向</span>屏幕，收到提示后请转身并点击结束按钮，过程中请在不转身的前提下多移动肢体或接触屏幕。
1,3,1,人体姿态,点击开始按钮后请向<span class="highlight">右</span>转并保持<span class="highlight">侧向</span>屏幕，收到提示后请转身并点击结束按钮，过程中请在不转身的前提下多移动肢体或接触屏幕。
2,0,10,点击屏幕,点击开始按钮后请使用<span class="highlight">右手拇指</span>点击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
2,1,10,点击屏幕,点击开始按钮后请使用<span class="highlight">右手食指</span>点击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
2,2,10,点击屏幕,点击开始按钮后请使用<span class="highlight">右手中指</span>点击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
2,3,10,点击屏幕,点击开始按钮后请使用<span class="highlight">右手无名指</span>点击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
2,4,10,点击屏幕,点击开始按钮后请使用<span class="highlight">右手小指</span>点击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
2,5,10,点击屏幕,点击开始按钮后请使用<span class="highlight">左手拇指</span>点击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
2,6,10,点击屏幕,点击开始按钮后请使用<span class="highlight">左手食指</span>点击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
2,7,10,点击屏幕,点击开始按钮后请使用<span class="highlight">左手中指</span>点击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
2,8,10,点击屏幕,点击开始按钮后请使用<span class="highlight">左手无名指</span>点击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
2,9,10,点击屏幕,点击开始按钮后请使用<span class="highlight">左手小指</span>点击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
3,0,10,叩击屏幕,点击开始按钮后请使用<span class="highlight">右手拇指指关节</span>叩击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
3,1,10,叩击屏幕,点击开始按钮后请使用<span class="highlight">右手食指指关节</span>叩击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
3,2,10,叩击屏幕,点击开始按钮后请使用<span class="highlight">右手中指指关节</span>叩击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
3,3,10,叩击屏幕,点击开始按钮后请使用<span class="highlight">右手无名指指关节</span>叩击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
3,4,10,叩击屏幕,点击开始按钮后请使用<span class="highlight">右手小指指关节</span>叩击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
3,5,10,叩击屏幕,点击开始按钮后请使用<span class="highlight">左手拇指指关节</span>叩击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
3,6,10,叩击屏幕,点击开始按钮后请使用<span class="highlight">左手食指指关节</span>叩击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
3,7,10,叩击屏幕,点击开始按钮后请使用<span class="highlight">左手中指指关节</span>叩击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
3,8,10,叩击屏幕,点击开始按钮后请使用<span class="highlight">左手无名指指关节</span>叩击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
3,9,10,叩击屏幕,点击开始按钮后请使用<span class="highlight">左手小指指关节</span>叩击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
4,0,10,掌击屏幕,点击开始按钮后请使用<span class="highlight">右手手心</span>掌击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
4,1,10,掌击屏幕,点击开始按钮后请使用<span class="highlight">右手手背</span>掌击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
4,2,10,掌击屏幕,点击开始按钮后请使用<span class="highlight">左手手心</span>掌击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
4,3,10,掌击屏幕,点击开始按钮后请使用<span class="highlight">左手手背</span>掌击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
5,0,10,物品点击,点击开始按钮后请使用<span class="highlight">笔的前端</span>点击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
5,1,10,物品点击,点击开始按钮后请使用<span class="highlight">笔的后端</span>点击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
5,2,10,物品点击,点击开始按钮后请使用<span class="highlight">板擦</span>点击叉号并在屏幕上慢速滑动5秒，再点击结束按钮。
999,999,1,end,end
